,Name,Edges,Type,Relationship,Collection
10,Jessie,"['James', 'Ash Ketchum', ""Ash's Pikachu"", 'Astin', 'Austin', ""Nurse Joy's Blissey"", 'Cassidy', ""Jessie's Ekans"", ""James's Koffing"", 'Nurse Joy', 'Lt. Surge', ""Lt. Surge's Raichu"", ""Ash's Primeape"", ""Jessie's Lickitung"", ""Jessie's Wobbuffet"", 'Lilian Meridian', ""James's Mime Jr."", 'Harley', 'Zoey', ""Zoey's Glameow"", ""Ash's Aipom"", ""Dawn's Pachirisu"", 'Raoul Contesta', 'Mr. Sukizo', ""Kenny's Prinplup"", 'Wallace', ""Jessie's Seviper"", 'Princess Salvia', ""Dawn's Togekiss"", ""Dawn's Buneary"", ""Dawn's Cyndaquil"", ""Jessie's Frillish"", ""Jessie's Woobat"", ""Jessie's Pumpkaboo"", 'Alouette', 'Dr. White', ""James's Inkay"", 'Delilah', 'Count Pumpka', 'Monsieur Pierre', 'Squishy', 'Z2', 'Aliana', 'Mable', ""Alain's Charizard"", 'Nini', 'Concetta', 'Malva', 'Alain', 'Lysandre', 'Mairin', 'Professor Sycamore', 'Celosia', 'Giant Rock', 'Diantha', ""Diantha's Gardevoir"", ""Jessie's Mimikyu"", 'Matori', 'Oluolu', ""James's Mareanie"", 'Johanna', 'Giovanni', 'Carl', 'Koga', 'Sabrina', 'Butch', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Pierce', 'Dr. Zager', 'Gozu', 'Blaine']",Main,Team Rocket,Original series
11,James,"['Jessie', 'Ash Ketchum', ""Ash's Pikachu"", 'Jessebelle', 'Growlie', ""Jessie's Ekans"", ""James's Koffing"", 'Nurse Joy', 'Lt. Surge', ""Lt. Surge's Raichu"", ""James's parents"", ""Misty's Poliwag"", 'DJ Mary', ""James's Chimecho"", ""James's Mime Jr."", 'Cassidy', ""James's Carnivine"", 'Mr. Cheeves', ""James's Cacnea"", 'Gardenia', 'Steveland', ""James's Amoonguss"", ""James's Inkay"", 'Monsieur Pierre', 'Squishy', 'Z2', 'Aliana', 'Mable', ""Alain's Charizard"", 'Malva', 'Alain', 'Mairin', 'Professor Sycamore', 'Celosia', 'Giant Rock', 'Diantha', ""Diantha's Gardevoir"", ""Jessie's Mimikyu"", ""James's Mareanie"", 'Oluolu', ""Gladion's Lycanroc"", 'Officer Jenny', 'Juan', 'Norman', ""James's Victreebel"", 'Magikarp salesman', 'Giovanni', 'Butch', 'Carl', 'Koga', 'Sabrina', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Matori', 'Pierce', 'Dr. Zager', 'Gozu', 'Blaine']",Main,Team Rocket,Original series
12,Meowth,"['Jessie', 'James', 'Ash Ketchum', ""Ash's Pikachu"", 'Meowzie', ""Giovanni's Persian"", ""Jessie's Ekans"", ""James's Koffing"", 'Nurse Joy', 'Lt. Surge', ""Lt. Surge's Raichu"", 'Madame Muchmoney', 'Erica', ""Ash's Pidove"", ""Iris's Axew"", 'Colress', ""Jessie's Frillish"", ""James's Amoonguss"", ""James's Inkay"", 'Alexa', ""Serena's Fennekin"", 'Officer Jenny', ""Jessie's Wobbuffet"", 'Squishy', ""Clemont's Bunnelby"", ""Serena's Pancham"", ""Clemont's Chespin"", 'Malva', 'Alain', 'Mairin', 'Giant Rock', 'Diantha', ""Jessie's Mimikyu"", ""Ash's Rowlet"", ""Lana's Popplio"", ""Ash's Litten"", ""Matori's Meowth"", 'Matori', ""Goh's Eternatus"", 'Simon', 'Michelle', ""Misty's Togepi"", ""Brock's Onix"", 'Squirtle Squad', 'Giovanni', 'Carl', 'Koga', 'Sabrina', 'Butch', 'Cassidy', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Pierce', 'Dr. Zager', 'Gozu', 'Blaine']",Main,Pokémon,Original series
13,Nurse Joy,"[""Ash's Pikachu"", 'Officer Jenny', ""Lt. Surge's Raichu"", ""Ash's Muk"", ""Ash's Bulbasaur"", 'Ritchie', 'Professor Ivy', ""Ash's Lapras"", 'Three punks', 'Umberto', 'Tracey Sketchit', ""Tracey's Scyther"", ""Ash's Snorlax"", 'Ash Ketchum', ""Ash's Chikorita"", 'Professor Alden', 'Raoul Contesta', 'Mr. Sukizo', ""Stephanie's father"", 'Norman', 'Caroline', ""Ash's Snorunt"", 'James', 'Brandon', ""Ash's Corphish"", ""Brock's Happiny"", ""Dawn's Piplup"", 'Johanna', 'Fantina', ""Nurse Joy's Audino"", ""Iris's Axew"", 'Alexa', ""Nurse Joy's Wigglytuff"", 'Head Nurse', ""Nurse Joy's Comfey"", ""Nurse Joy's Blissey"", 'Zipp', ""Brock's Comfey"", 'Goh', ""Goh's Scorbunny"", ""Ash's Riolu"", ""Ash's Farfetch'd"", 'Don George', 'Porter', ""Nurse Joy's Chansey"", 'Hayden', 'Verity', 'Cross']",Recurring,Other,Original series
14,Nurse Joy's Chansey,"['Nurse Joy', ""Ash's Pikachu"", 'Ash Ketchum', 'Lt. Surge', 'Dr. Proctor', 'Jessie', ""Nurse Joy's Blissey"", ""Ash's Treecko"", ""Jessie's Seviper"", 'Max', 'Brandon', ""Ash's Corphish"", ""Jessie's Wobbuffet"", ""Brock's Happiny"", ""Nurse Joy's Audino"", ""Goh's Scorbunny"", ""Ash's Riolu"", 'Cross']",Recurring,Pokémon,Original series
15,Jessie's Ekans,"['Jessie', 'James', ""James's Koffing"", 'Ash Ketchum', 'Nurse Joy', ""Ash's Pikachu"", ""Jessie's Lickitung"", ""Jessie's Wobbuffet"", 'Arielle', ""James's Victreebel"", 'Cassidy', 'Rico', 'Pokémon poacher']",Recurring,Pokémon,Original series
16,James's Koffing,"['James', 'Jessie', ""Jessie's Ekans"", 'Ash Ketchum', 'Nurse Joy', ""Ash's Pikachu"", ""James's Victreebel"", 'Rico', 'Pokémon poacher', ""Jessie's Wobbuffet""]",Recurring,Pokémon,Original series
17,Misty's Goldeen,"['Ash Ketchum', ""Misty's Starmie"", ""Ash's Squirtle"", ""Misty's Staryu"", ""Ash's Snorlax"", ""James's Victreebel"", 'Captain Crook', 'Dorian', 'Agatha']",Recurring,Pokémon,Original series
18,Ash's Caterpie,"['Ash Ketchum', ""Ash's Pikachu"", ""Ash's Pidgeotto"", ""James's Koffing"", ""Jessie's Ekans"", 'Samurai', ""Misty's Staryu"", 'A.J.', ""Ash's Raticate"", ""Ash's Bulbasaur"", 'Pink Butterfree', 'Gary Oak']",Recurring,Pokémon,Original series
19,Ash's Pidgeotto,"['Ash Ketchum', ""Ash's Caterpie"", ""Ash's Pikachu"", 'Samurai', ""Brock's Geodude"", ""Misty's Starmie"", ""Brock's Zubat"", 'Koga', ""Ash's Charmander"", ""Ash's Bulbasaur"", ""Ash's Squirtle"", 'Jessie', 'Ritchie']",Recurring,Pokémon,Original series
20,Samurai,"['Ash Ketchum', 'Gary Oak', ""Ash's Pidgeotto"", ""Gary's Squirtle"", 'A.J.']",One-timer,Other,Original series
21,Gary's Squirtle,"['Gary Oak', 'Ash Ketchum', 'Samurai', ""Ash's Heracross"", ""Ash's Muk"", ""Ash's Pikachu"", 'J', ""J's henchmen"", ""J's Salamence"", 'Goh']",Recurring,Pokémon,Original series
22,Flint,"['Forrest', 'Lola', 'Ash Ketchum', ""Ash's Pikachu"", 'Nurse Joy', ""Brock's Geodude""]",Recurring,gym leader,Original series
23,Brock,"['Ash Ketchum', ""Brock's Onix"", 'Officer Jenny', 'Melanie', ""Brock's Vulpix"", 'Suzie', 'Professor Ivy', 'Delia Ketchum', 'Mimey', 'Forrest', 'Max', ""Cilan's Pansage"", 'Ayumi', 'Pokémon poacher', 'Amer', 'Snowy', ""Kiawe's Turtonator"", ""Brock's Comfey"", 'Olivia', 'Visquez', 'Chloe', 'Wilhomena', 'Temacu', 'Natalie', 'Lucy', 'Holly', 'Narissa', 'Lizabeth', ""Brock's Croagunk"", 'Nurse Joy', 'Miki', 'Molly Hale', ""Brock's Happiny"", ""Brock's Bonsly"", ""Brock's Geodude"", ""Ash's Tauros"", 'Tracey Sketchit']",Main,gym leader,Original series
24,Brock's Onix,"['Ash Ketchum', ""Ash's Pikachu"", ""James's Koffing"", 'Dario', ""Misty's Togepi"", ""Brock's Geodude"", ""Blaine's Magmar"", ""Misty's Staryu"", ""Ash's Squirtle"", ""Bruno's Onix"", ""Ash's Pidgeotto"", 'Professor Ivy', ""Ash's Totodile"", ""Brock's Pineco"", ""Misty's Psyduck"", 'Lola', 'Forrest', 'Jessie', 'James', 'Nurse Joy', ""Kiawe's Turtonator"", 'Brock', 'Misty', 'Erika', 'Jasmine', ""Jasmine's Steelix""]",Recurring,Pokémon,Original series
25,Forrest,"['Lola', 'Ash Ketchum', 'Max', ""Brock's Onix"", 'Nurse Joy']",Recurring,gym leader,Original series
26,Salvadore,"['Lola', 'Forrest', 'Ash Ketchum', 'Nurse Joy', ""Brock's Onix""]",Recurring,Relative,Original series
27,Brock's Geodude,"['Ash Ketchum', 'Misty']",Recurring,Pokémon,Original series
28,Seymour,"[""Misty's Staryu"", ""Misty's Psyduck"", 'Ash Ketchum', ""Ash's Pidgeotto"", 'Giselle', ""Ash's Bulbasaur"", 'Jessie', ""Ash's Squirtle"", 'Dario', ""Misty's Horsea"", ""Misty's Gyarados"", 'Misty', ""Ash's Pikachu"", 'Whitney', ""Whitney's Miltank"", 'Brock']",One-timer,Other,Original series
29,Brock's Zubat,"['Ash Ketchum', 'Jessie', 'James', ""Ash's Pikachu"", ""James's Koffing"", ""Jessie's Ekans"", 'Samurai']",Recurring,Pokémon,Original series
30,Misty's Staryu,"['Ash Ketchum', 'Giselle', ""Misty's Starmie"", ""Ash's Pikachu"", 'Duplica', ""Duplica's Ditto""]",Recurring,Pokémon,Original series
31,Daisy,"[""Misty's Starmie"", 'Ash Ketchum', ""Ash's Pikachu"", 'Duplica', ""Duplica's Ditto""]",Recurring,gym leader,Original series
32,Violet,"['Ash Ketchum', ""Misty's Starmie"", 'Melanie', ""Ash's Pidgeotto"", ""Ash's Pikachu"", 'Erika', 'Koga', ""Duplica's Ditto"", ""Misty's Togepi"", ""Misty's Psyduck"", 'Nurse Joy', ""Brock's Vulpix"", ""Jessie's Lickitung"", 'Jeanette Fisher', 'Danny', ""Ash's Squirtle"", 'Mayor of Trovitopolis', ""Ash's Muk"", 'Rudy', ""Ash's Heracross"", ""Ash's Chikorita"", ""Misty's Poliwag"", 'Kenzo', 'Chigusa', 'Ephraim', 'Tracey Sketchit', ""Ash's Cyndaquil"", ""Vincent's Meganium"", 'Butch', ""May's Bulbasaur"", 'Alexa', 'Goh', 'Florinda Showers', 'Raymond', 'Lawrence III']",Recurring,gym leader,Original series
33,Lily,"['Ash Ketchum', ""Ash's Bulbasaur"", ""Ash's Pidgeotto"", ""Ash's Pikachu"", 'A.J.', 'Samurai', 'Jessie', 'James', 'Damian']",Recurring,gym leader,Original series
34,Seel,"['Ash Ketchum', 'Damian', ""Ash's Pikachu"", ""Ash's Primeape"", 'Erika', 'Koga', ""Koga's Golbat"", 'Blaine', ""Blaine's Magmar"", 'Ritchie', 'Zippo', 'Sparky', 'Corey', 'Neesha', 'Danny', ""Tracey's Scyther"", 'Tad', 'Luana', ""Drake's Dragonite"", ""Ash's Chikorita"", 'Falkner', 'Charla', 'Delia Ketchum', 'Molly Hale', 'Clair', 'Gary Oak', ""Harrison's Blaziken"", ""Noland's Articuno"", ""Iris's Dragonite"", 'Colress', ""Ash's Oshawott"", ""Jessie's Frillish"", ""James's Amoonguss"", ""Iris's Axew"", ""Cilan's Pansage"", 'Goh', ""Ash's Bulbasaur"", ""Casey's Chikorita"", 'Cross', 'Verity', 'Sorrel', 'Rudy', ""Ash's Squirtle""]",Recurring,Pokémon,Original series
35,Misty's Starmie,"[""Ash's Charmander"", 'Ash Ketchum', 'Nurse Joy', ""Ash's Pikachu""]",Recurring,Pokémon,Original series
36,A.J.,"['Ash Ketchum', 'Squirtle Squad', 'Jessie', 'James', ""Ash's Pikachu"", 'Officer Jenny', ""Ash's Bulbasaur"", 'Lara Laramie', 'Dario', 'Melvin', ""Ash's Charmander"", 'Blaine', ""Brock's Onix"", ""Brock's Geodude"", 'Mandi', 'Ritchie', 'Cissy', 'Rudy', 'Captain Aidan', 'Team Wartortle', ""Drake's Dragonite"", ""Casey's Chikorita"", ""Ash's Totodile"", ""Ash's Phanpy"", 'Macy', 'Pichu Brothers', ""May's Squirtle"", 'Lt. Surge', ""Ash's Lapras""]",One-timer,Other,Original series
37,Joe,"['Jessie', 'James', ""Ash's Pikachu"", 'Ash Ketchum', ""Ash's Squirtle"", 'Officer Jenny', 'Team Wartortle', 'Brandon', 'Pichu Brothers']",One-timer,Other,Original series
38,Giselle,"['Ash Ketchum', 'Gary Oak', 'Mandi', 'Pete Pebbleman', ""Ash's Muk"", ""Ash's Tauros"", ""Ash's Snorlax"", 'Whitney', ""Ash's Totodile"", ""Misty's Psyduck"", 'Macy', 'Nurse Joy', ""Ash's Squirtle"", 'Cassidy', 'Butch', ""Ash's Corphish""]",One-timer,Other,Original series
39,Ash's Bulbasaur,"['Blaine', 'Lillie', 'Lusamine', 'Wicke', 'Ash Ketchum', 'Professor Oak', 'Whitney']",Recurring,Pokémon,Original series
40,Melanie,"['Morty', ""Lt. Surge's Raichu"", 'Ash Ketchum', ""Ash's Pikachu"", 'Visquez', 'Sabrina', 'Misty', 'Blaine', 'Anabel', 'Giovanni', 'Carl', 'Jessie', 'James', 'Koga', 'Butch', 'Cassidy', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Matori', 'Pierce', 'Dr. Zager', 'Gozu']",One-timer,Other,Original series
41,Ash's Charmander,"['Lt. Surge', 'Ash Ketchum', 'Otoshi', 'Morty']",Recurring,Pokémon,Original series
42,Damian,"[""Giovanni's Persian"", 'Jessie', 'James', 'Butch', 'Cassidy', 'Gary Oak', 'Ash Ketchum', 'Agatha', 'Domino', ""Jessie's Yanma"", 'Matori', 'Dr. Zager', 'Ridley', ""Jessie's Woobat"", ""Jessie's Frillish"", ""James's Inkay"", ""Jessie's Pumpkaboo"", 'Squishy', ""Jessie's Mimikyu"", 'Nanu', 'Gozu', ""Ash's Bulbasaur"", 'Otoshi', 'Tyler', 'Delia Ketchum', 'Carl', 'Koga', 'Lt. Surge', 'Sabrina', 'Attila', 'Hun', 'Oakley', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Pierce', 'Blaine']",One-timer,Other,Original series
43,Ash's Squirtle,"['Jessie', 'James', ""Jessie's Yanma"", 'Matori', ""Ash's Pikachu"", 'Giovanni', 'Sabrina', 'Koga', 'Blaine']",Recurring,Pokémon,Original series
44,Squirtle Squad,"['Cassidy', 'Jessie', 'Giovanni', 'James', 'Ash Ketchum', 'Dr. Namba', 'Butch', 'Ritchie', 'Professor Sebastian', 'Lance', 'Domino', 'Cynthia', 'Ridley', 'Matori', 'Gozu', 'Faba', ""Professor Kukui's Incineroar"", 'Goh', 'Chloe', ""Lance's Dragonite"", 'Blaine', 'Koga', 'Sabrina', 'Carl', 'Chuck', 'Spiky-eared Pichu', 'Kurt', 'Lt. Surge', 'Attila', 'Hun', 'Oakley', 'Iron-Masked Marauder', 'Rocket Scout', 'Jubei', 'Pierce', 'Dr. Zager']",Recurring,Pokémon,Original series
45,Ash's Krabby,['Ash Ketchum'],Recurring,Pokémon,Original series
46,Bill,"['James', 'Jessie', ""Jessie's Wobbuffet"", ""Jessie's Lickitung"", ""James's Victreebel"", 'Tracey Sketchit', ""Ash's Aipom"", 'Ash Ketchum']",One-timer,Other,Original series
47,Lt. Surge,"['Magikarp salesman', ""James's Magikarp"", 'James', 'Jessie', ""Jessie's Lickitung"", ""Jessie's Wobbuffet"", ""James's Victreebel"", 'Tracey Sketchit']",One-timer,gym leader,Original series
48,Lt. Surge's Raichu,"['James', 'Magikarp salesman', 'Jessie', 'Ash Ketchum']",One-timer,Pokémon,Original series
49,Giovanni,"['Moe', 'Ash Ketchum', ""Ash's Pidgeotto"", ""Ash's Charmander"", 'Nastina']",Recurring,gym leader,Original series
50,Giovanni's Persian,"['Brutella', 'Ash Ketchum', ""Ash's Charmander"", ""Ash's Pidgeotto""]",Recurring,Pokémon,Original series
51,Team Rocket Grunts,"['Ash Ketchum', 'Nastina', 'Jessie', 'Mikey', ""Misty's Starmie"", ""Misty's Gyarados"", ""Misty's Goldeen"", 'Misty', ""Ash's Pikachu""]",Recurring,Team Rocket,Original series
52,Ash's Raticate,['Brutella'],One-timer,Pokémon,Original series
53,Magikarp salesman,"['Ash Ketchum', 'James', ""Ash's Pikachu"", 'Jessie']",Recurring,Other,Original series
54,Magikarp salesman's Magikarp,['Ash Ketchum'],Recurring,Pokémon,Original series
55,James's Magikarp,"['Koga', 'Ash Ketchum', ""Ash's Pikachu"", ""Sabrina's father"", ""Sabrina's mother"", ""Sabrina's Abra"", 'Lt. Surge', 'Bugsy', 'Blaine', 'Giovanni', 'Carl', 'Jessie', 'James', 'Butch', 'Cassidy', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Matori', 'Pierce', 'Dr. Zager', 'Gozu']",Recurring,Pokémon,Original series
56,Brutella,"['Sabrina', 'Ash Ketchum', ""Ash's Pikachu""]",Recurring,Other,Original series
57,Moe,"['Ash Ketchum', 'Sabrina']",One-timer,Other,Original series
58,Misty's Horsea,"['Ash Ketchum', 'Sabrina', ""Ash's Pikachu""]",Recurring,Pokémon,Original series
59,Nastina,"['Sabrina', ""Sabrina's father"", 'Ash Ketchum']",One-timer,Other,Original series
60,Ghost of Maiden's Peak,"['Ash Ketchum', 'Gary Oak', ""Ash's Pikachu"", 'James', 'Jessie', ""Ash's Charmander"", 'Erika']",One-timer,Other,Original series
